category,city,company_name,geo,job_board,job_description,job_title,job_type,post_date,salary_offered,state,url,average_salary,Salary
Construction,Melbourne,Design & Construct,AU,seek," Due to a reputation for delivering quality projects this respected Tier 2 civil contractor is seeing consistent growth and now require an experienced Site Supervisor to join their team. The company Having been established for over 50 years and working across a number of sectors this growing contractor are a well-known business that have a solid reputation in the market. They have strong staff retention with all senior management having been with the business for 10+ years and pride themselves in developing people so they can grow within the company. The role The role of Site Supervisor will see you work closely with Project Managers, Engineers, relevant state bodies and sub-contractors in driving the project to ensure it meets programme whilst maintaining quality and OH&S standards across the board. You will predominantly be working on Vic Roads projects which could consist of slipways, roads, bridges, highways, roundabouts and more with projects usually values ranging from $3m-$100m. About you To be successful in the role you must have an extensive background as a Site Supervisor ideally with VIC roads experience. You will be very personable, be willing to travel when need be, have a passion for the industry and the ability to drive and motivate people in a positive manner. Whatâ€™s in it for me? In return for your hard work you will be compensated with a remuneration package of between $130K- $150k+ Super + Car. In addition to this you will get to work with a great team who like to develop staff and offer genuine career progression opportunities. Apply For more information on the role please call Ross Dalton on 0433 348 227, send a copy of your CV to ross@designandconstruct.com.au or apply below. ",Site Supervisor- VIC Roads- Bridges,Full Time,2018-04-16T07:00:27Z,$130k - $150k p.a. + Super+ Car,Western Suburbs,https://www.seek.com.au/job/35997447,140,140000
Healthcare & Medical,Brisbane,Sigma Resourcing Pty Ltd,AU,seek,"An opportunity exists for a VR General Practitioner to join a reputable private practice located in the Southern suburbs of Brisbane near Acacia Ridge. It is a DWS area.Â  Â  The Surgery currently employs 6 doctors, and will soon be expanding the size of their premises to cater to the ever growing patient base. Â  A range of services are provided, including travel vaccine clinics, diabetes clinics, women's health services, care plans and General Practice. They have onsite allied health including a Chiropractor, Podiatrist and aÂ Psychologist. Â You will have a degree of flexibility with your hours. Â  What to expect:Â  70% of Â billings Excellent team environment Modern fit-out Fully computerised Allied health services Strong patient base To be successful: Must have current AHPRA registration Must have FRACGP or equivalent Must be an Australian ResidentÂ  To Apply: Send a copy of your updated CV toÂ daniel@sigmaresourcing.com.au or call 0450 039 100 ",Female VR General Practitioner (FRACGP) - Acacia Ridge Area - DWS - 70% Billings,Full Time,2018-04-16T05:30:53Z,250K +,Southern Suburbs & Logan,https://www.seek.com.au/job/35995722,250,250000
Healthcare & Medical,Sydney,Sugarman Australia,AU,seek," The organisation The clinic in a multi-disciplinary care centre with an emphasis on team work and patient care. They specialise in musculoskeletal and sports rehab providing the best quality care to a wide variety of different clients. The clinic is state of the art and boasts onsite gym and pool facilities as well as a lively atmosphere. In the clinic you will be working alongside 4 other physiotherapists, GP's, XRay and other Allied Health practitioners. The benefits F/T employment + benefits Excellent remuneration + bonuses Full clinical support Contractor pay option (% basis) Admin Support Commitment to training and development A friendly and supportive team Essential criteria Have good Manual Therapy skills Have excellent communication Have a fantastic work ethic Full AHPRA registration Experience would be desirable but not essential If you would like to register your interest in this exciting role click apply now and upload your resume today! Alternatively for a confidential chat about the position please contact Benedict Lavery on 0295 495 700 or via email on benedict.lavery@sugarmangroup.com.au ",Physiotherapist,Full Time,2018-04-16T06:39:42Z,$79999 - $99999 p.a. + Super,North West & Hills District,https://www.seek.com.au/job/35997028,89999,89999
"Manufacturing, Transport & Logistics",Sydney,en world Australia,AU,seek," The Company My client is a multinational 3PL with a standout brand and service across the entire globe. Due to continuous growth and a busy time of year they are currently looking for an energetic Customer Service Agent to join their freight forwarding business. Reporting to the Branch Manager this position has a strong focus on service and operational efficiency. The Role Your main responsibilities will include: Liaising with local and overseas carriers Cover a portfolio of clients moving cargo FCL, LCL cargo duties & Air Handling of Customer specific enquiries or requirements import / Export Consignment tracking and monitoring Ensure all cargo is clear and all impediments are met to enable delivery Build strong and lasting relationships with customers and provide second-to-none customer service. Take full responsibilities and end-to-end ownership of customer shipments and issues. Engage in constructive problem resolution and provide solutions. Act and communicate proactively and keep customers informed of any issues or changes in the booking. Your Experience Minimum 1-2 years experience in a similar role Some cartage and import/export exposure Sound interpersonal and communication skills; We are looking for a good attitude & are happy to train the right person If you have any further questions please contact Stuart Alpen on 02-9431-6518. ",Customer Service,Full Time,2018-04-16T01:14:04Z,$50k - $52k p.a. + super,Parramatta & Western Suburbs,https://www.seek.com.au/job/35991317,51,51000
Banking & Financial Services,Sydney,Robert Walters,AU,seek," This role exists to develop, embed, maintain and improve the assessment guidelines and processes to ensure that all customers are treated fairly and consistently and remediated (where required) in the most effective and efficient manner Role Description Develop and improve the assessment guidelines, methodology, processes and tools that facilitate the identification of inappropriate advice and adviser conduct Develop, maintain and improve the methodology and processes that are applied in the remediation of customers who have received inappropriate advice or service. Ensure that all assessment guidelines, methodology, processes and tools are understood and applied by all key stakeholders. Serve as an effective escalation function for the assessment team and ensure that all decisions are effectively documented, approved and disseminated to all relevant stakeholders. â€¢ Develop innovative ways to remediate specific issues while ensuring quality is maintained Role Requirements Minimum 5 years financial services industry experience, with sound knowledge of financial products. Previous roles or exposure to Advising, Para planning, Complaints, Compliance or Training experience desirable. Advanced Excel/Word skills Ability to review advice decisions based on file documentation and supporting information and form a determination of appropriate or inappropriate advice. Ability to unpack the critical factors that inform an appropriate or inappropriate outcome assessment. Excellent written and verbal communication skills To apply please click apply or call Alison Hogan on +61 2 8289 3124 for a confidential discussion. ",Remediation Consultant,Contract/Temp,2018-04-16T07:10:59Z,$100k - $110k p.a. + STI Bonus,North Shore & Northern Beaches,https://www.seek.com.au/job/35997667,105,105000
Human Resources & Recruitment,Sydney,Frazer Jones,AU,seek," The Organisation My client is one of the worldâ€™s leading global technology organisations in the Healthcare industry. They have strong values, are growing, and are looking to attract exceptional talent to the organisation. The Role This is an exceptional opportunity for an ambitious and passionate professional to be part of a wider team in a high performing and rewarding environment. The pace is fast, and you will need to keep up with it, and thrive off it. You could have a background in sales and be looking to transition into an HR/recruitment role. It will be important that you enjoy a KPI and results focussed work environment. The majority of your time will be dedicated to end to end recruitment, working with the wider business to fill recruitment needs, and finding exceptional talent to build and improve your pipeline. You will love speaking to people and being the face of the organisation. You will also work in collaboration with the wider HR team; helping with the on boarding and exit process and other adhoc projects as and when required. You will coach managers on the hiring processes & how to best source and identify talent. In addition, you will coach & develop the HR team on the recruitment process. Your skills & attributes As an ambitious professional, you will be continually challenged and looking to grow your career in an exceptional organisation where you are rewarded for your hard work and positive attitude. You will also have: The ability to build strong relationships with internal & external stakeholders An interest in working in a fast paced, and a high performing environment Agile and flexible What you will get in return A competitive salary package, salary will be dependent on experience Bonus & other incentives Training & support Genuine career progression For more information on the role, or for a confidential chat, please contact Charlotte Grimmett on 0292369090 or email charlottegrimmett@frazerjones.com.au SR Group is acting as an Employment Agency in relation to this vacancy. ",Talent Acquisition Specialist,Full Time,2018-04-16T05:55:00Z,$70k - $100k p.a. + super + benefits,North Shore & Northern Beaches,https://www.seek.com.au/job/35996153,85,85000
Accounting,Sydney,u&u. Recruitment Partners,AU,seek," About the Company: This complex organisation is at the forefront of the property industry. Along with most of the property industry, they have been and continue to experience steady growth and are constantly looking at ways to innovate and improve customer experience and market footprint. About the Role: Due to the current Senior Financial Accountant moving overseas, there is a great opportunity for an ambitious, dedicated and up and coming accounting specialist to join the team and grow their career. The focus of this role initially is to take ownership of the group statutory reporting and compliance. The role will then evolve over the next 12 months to incorporate some management reporting, analysis and project based work to support the finance transformation program. Duties: Responsibilities include but may not be limited to: Preparation of consolidated financial statements; Preparation of annual statutory accounts for subsidiary and group; Liaise with external auditors; Building and maintaining relationships with both internal and external stakeholders; Adoption of accounting standards; and Assist Financial Controller with any ad hoc duties. Skills &amp; Experience: The successful candidate will be: CA / CPA qualified; Confident in verbal and written communication; Able to display at least three yearsâ€™ experience in a similar role; Professional, driven and a high achiever; and Big 4 trained with a couple yearsâ€™ experience in a commercial industry. Highly desirable but not essential. Culture: Fantastic modern facilities with a high performing and supportive environment, who also like to have fun and be social. They have a strong belief in continuous development and career growth. How to Apply: For more information, please call Adrian Zanatta at u&amp;u on 02 8245 7913, quoting reference number 11300. Alternatively, to submit an application, please click below. Please submit your resume in Word format only. ",Senior Financial Accountant,Full Time,2018-04-12T07:31:16Z,"$130,000 Package","CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35972595,65,65000
Accounting,Sydney,Robert Walters,AU,seek," A leading financial services firm is currently hiring a Finance Manager into their finance team due to continued growth within the business. Reporting into the Financial Controller, The Finance Manager will be responsible for monthly financial control and reporting across the funds management and superannuation business and will lead a small team.. The successful candidate will be a CA/CPA qualified accountant with relevant financial reporting experience within financial services. Big 4 first movers will also be considered Key Responsibilities: Monthly/Quarterly/Yearly Financial Reporting Financial Control function for the businesses supported. Monthly management reporting relating to investments. Process Improvement Projects Ad-hoc projects Provide accounting advise to various stakeholders Key Requirements: CA/CPA Qualified Accounting Experience working within big 4 accounting firm OR 5+ years relevant financial services experience Strong communicator Strong understanding of accounting standards and financial control This is an excellent opportunity to join a global organisation based in Sydney and it will proved the successful candidate with significant career prospects. To apply Please click on the link or contact Tom Clifton for further details on 02 8289 3242. ",Finance Manager -Financial Control,Contract/Temp,2018-04-16T21:16:48Z,$110k - $130k p.a. + Super,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35999604,120,120000
Human Resources & Recruitment,Melbourne,Dixon Appointments,AU,seek," Get started immediately through to mid-Sept 2018 Full-time hours, $50 - $55 per hour plus super Dynamic OD/L&amp;D project About the company: The client is a Victorian-government owned organisation. About the role: Reporting to the P&amp;C Lead, you will be responsible for assisting with and coordinating the design and implementation of high quality HSW programs to support the HSW Strategy. Duties &amp; responsibilities: Design and implement a HS&amp;W training matrix for the organisation Implement robust evaluation processes to measure program effectiveness and return on investment Manage contracts of specialist external providers and other relevant services to support program design and delivery Manage and coordinate the HSW calendar, including HSW compliance, wellbeing training initiatives with partnership with the HS&amp;W Team Manage key relationships, including the TACâ€™s senior managers and line managers to ensure successful delivery of HSW training programs Conduct research to ensure program design and delivery is in line with best practice methodologies, systems and tools Contribute to the implementation of a business-wide culture change program to support the HSW strategy Skills &amp; experience: HR qualifications and accrediation in psychometric/assesment profiling tools Demonstrated experience in the design and implementation of development programs that consist of a blended approach and contemporary learning frameworks Demonstrated experience in managing senior stakeholder relationships Project management experience Experience in managing Health, Safety and Wellbeing training programs is desireable but not essential. Culture: The team is friendly, supportive, fun and dynamic. You will be part of a fast-paced but very rewarding work culture. If you are available immediately and are looking for an interesting and rewarding project within a great team, please submit your CV ASAP! Click on the APPLY button and ensure that your CV is attached in MS Word format. Ref. HR200072288 ",Organisational Development and Learning Consultant,Contract/Temp,2018-04-12T10:23:25Z,$50 - $55 p.h. + award super,Western Suburbs,https://www.seek.com.au/job/35973442,52.5,84000
Call Centre & Customer Service,Sydney,Veritas Recruitment,AU,seek," The Company This highly regarded company with a global footprint is seeking a dynamic and passionate Customer Service Officer to join their team in a 12-month maternity contract. The Position Handle customer enquiries, via Managing and resolving customer issues High volume order processing Follow up, credit, return and ETAâ€™s Liaise with internal &amp; external stakeholders Other general administrative duties The Candidate Previous experience in a similar role Excellent verbal and written communication skills High level attention to detail, fast and accurate typing speed Exceptional organisational and time management skills Ability to work in a busy, fast-paced work environment Intermediate MS Word &amp; Excel skills ERP experience an advantage The Benefits Global organisation Friendly team environment Immediate start To apply online please click on the appropriate link below and send your resume in WORD format. Alternatively, for a confidential discussion please contact Tina Giannopoulos on +61 2 9891 7400 ( SK935895A ) Please visit www.veritasrecruitment.com.au to view more jobs. ",Customer Service Officer,Full Time,2018-04-12T05:37:34Z,$55k - $60k + Super,North West & Hills District,https://www.seek.com.au/job/35970588,57.5,57500
Administration & Office Support,Sydney,Design & Build,AU,seek,Exciting opportunity for an experienced Receptionist and Administrator to become the face of this innovative Architecture/Interiors practice. In addition you will be the first point of call to all clients via phone and in person.Â  This role is ideal for someone who loves being that first point of contact. You will be responsible for all first impressions and ensuring clients are well looked after.Â  You will assist with the day to day administration function and there is opportunity for the right person to also support the Marketing team.Â  You will be an experienced business support professional who is capable of working autonomously in this pivotal role.Â  Duties will include but not be limited to: Answering phones Meeting and greeting clients Â Ensuring the office area and kitchen is kept clean and boardrooms are set up for meetings. Collect mail and distribute Manage mail out and courier services Manage meeting room bookings Maintain and upkeep office equipment Assisting with organising conferences and company events Organising office social eventsÂ  General filing Ordering stationery All ad hoc administration For any questions relating to this role or other opportunities with D&B and our clients please contact Amy Colton on 029376 8200 or click apply. Your application will be treated as strictly confidential. ,Receptionist,Contract/Temp,2018-04-14T22:30:26Z,$25 p/h + super,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35986992,25,40000
Real Estate & Property,Melbourne,Spring Professional Ltd,AU,seek," Spring Professional are partnered with this large retail property group who are seeking a Retail Leasing Manager with proven experience in retail leasing (minimum 3 years). This opportunity is available due to significant growth in their VIC shopping centre portfolio. The key areas of responsibility will be to complete complex lease negotiations on specific retail projects with a key focus on introducing new and exciting food/fashion brands. Successful candidates will have strong negotiation skills and have an edge over competitors because of their tenacity, relationships and networking ability. This is a fantastic opportunity to work across quality retail assets and have an opportunity to work for a progressive company who have a reputation for promoting from within. All applications and discussions are handled confidentially, to learn more about this exciting Melbourne based senior opportunity or to apply contact Patrice Commerford on 03 9620 2717 or email your CV through Salary $180,000 - $220,000 *Only candidates that meet the key selection criteria can be contacted ",Retail Leasing Manager - Shopping Centre's,Full Time,2018-04-16T00:10:43Z,$180k - $220k p.a.,CBD & Inner Suburbs,https://www.seek.com.au/job/35990256,200,200000
Administration & Office Support,Melbourne,Chandler Macleod Group,AU,seek," We are seeking a passionate HR Administrator for a role based in the North-East Melbourne area for immediate start for the right candidate! Our ideal candidate will be an enthusiastic and accountable Human Resources (HR) Administrator to support the implementation of a variety of human resource programs. The HR department will depend on your assistance in a number of important functions such as staffing, compensation and benefits, and training and development. Due to the diversity of responsibilities of the role, the ideal candidate will be a competent and resourceful individual with a passion for HR and ideally have some exposure to working in a medical field or government department.The company objective is to ensure the HR departmentâ€™s operations can run smoothly and effectively to ensure the delivery of work is of maximum value to the organization as a whole. Responsibilities: â€¢ Provide High level adminitration support to the HR team â€¢ Assist in talent acquisition and recruitment processes â€¢ Conduct employee on boarding â€¢ Assist in development and implementation of human resource policies â€¢ Maintain employee files and records The ideal candidate will also be required to demonstrate the following skills: â€¢ Proven experience as HR Adminsitror OR a qualification within Human Resources â€¢ Understanding of general human resources policies and procedures â€¢ Outstanding knowledge of MS Office; â€¢ Excellent communication and people skills â€¢ Aptitude in problem-solving â€¢ Desire to work as a team with a results driven approach This role may include some flexibility in terms of days worked but ideally, would be a 5 day a week position. Candidate will need own transport, parking on site provided. If this sounds like you please do not hesitate to APPLY TODAY or give Krysta a call on 03 8629 1118 ",HR Administrator/Gaduate required,Contract/Temp,2018-04-12T09:48:40Z,$26 - $27 p.h. + super,CBD & Inner Suburbs,https://www.seek.com.au/job/35973337,26.5,42400
Information & Communication Technology,Sydney,Enigma HR Pty Ltd,AU,seek," Poised for growth in 2018, this managed IT services company, established for 15 years, provides end to end IT services for a diverse range of small to medium sized enterprises.Â  Its focus is to provide exemplary customer service as an outsourced IT department for a loyal client base. Based in Sydney's north, our client is seeking a mid-level Windows Support Engineer possessing proven knowledge and experience in administering and managing multiple sites and network sizes. This role is ideal for the professional interested in moving to a client facing role which includes administering sites from a diverse range of clients in a variety of industries, providing software deployment and support and being exposed to various technologies. You will have: Good English speaking and written ability 4+ years of experience in user-oriented support 3+ years on Windows Server, Exchange deployment & management 2+ years Networking knowledge and implementation experience Relevant certification in Microsoft, VMWare and Cisco are well regarded but not essential Strong system backup and recovery using Shadowprotect/Veeam Strong experience in building systems from scratch - physical, virtualised or data centre environment Proven exposure in a Windows system admin or out-sourced IT environment Project experience in systems development and migration Other desirable skills: Office 365, Mac OS, virtualisation A current drivers license to enable travel within Sydney Fluency in another language in particular Mandarin, would also be desirable. Â If successful, you will enjoy: A welcoming and supportive environment in a fun, growing team. Working closely with highly experienced team of engineers who are very willing to train and impart knowledge on technologies that may be new or unfamiliar to you! A great remuneration package An ideal environment to expand your skills with opportunities to become a business IT consultant Career progression and advancement as you improve your skills Opportunity to access training courses when necessary If you are ready to make your move and work for a niche IT consultancy that rewards your commitment, please email a brief resume to z0318@enigmahr.com.au. Â  Â  Â  Â  Know someone who is looking? Ask them to give us a call! You can take advantage of our exceptional incentive program for referrals. Call us now to find out more or check out details on our website.",Windows Support Engineer (mid level),Full Time,2018-04-13T00:38:14Z,Up to $74K + super + allowances DOE,North Shore & Northern Beaches,https://www.seek.com.au/job/35976131,74,74000
Construction,Sydney,Stream Consulting Group,AU,seek," Tier 2 Design Builder with over $800 million worth of completed projects Focus on large scale developments, with Tier 1 organisations $130k package for the right carpenter leading hand The company: This renowned player in the market have a huge portfolio of projects, both past and present. They have completed complex builders both in Australia and New Zealand. These consist of commercial, retail, multi-storey residential, hotels, education, infrastructure, and government buildings. They would rate themselves as a small to medium size contractor. The role: Working in conjunction with the site foreman you will be on the tools producing high quality works. Reporting into the site manager you will also be given responsibility of running a dedicated crew with the big focus on production and attention to detail. Some other areas of your daily tasks with include: Management of trades and sub-contractors on-site Controlling the site in the site managers absence Opening / closing the site when required Site inductions and tool-box talks. Helping with the on-site OH&S procedures Some general hands-on carpentry and occasional manual labour. About you and the culture: They have developed a working culture built for success, with one common goal to be the best at what they do. They pride themselves on only signing off on a candidate that will fit into their finely tuned, developed working culture. You will need to have extensive longevity with in you career, to progress to the interview stage. Whatâ€™s in this for you: Work on high value projects over $20 million A company that takes absolute pride in their work Align yourself with Tier 1 organisations Above average salary For more information on this role and any others I have in my portfolio, please call River Keenan on 0422 598 001 for a confidential chat. ",Leading Hand Carpenter - Projects Based Sydney Wide,Full Time,2018-04-16T07:23:58Z,$110k - $140k p.a. + Super,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35997881,125,125000
Trades & Services,Sydney,Hire Force,AU,seek," HireForce are on the hunt for trade qualified ""Mechanics"" to work for our client; a major manufacturer and distributor of earthmoving and construction mobile plant equipment. These roles we are looking to fill will suit qualified mechanics that are looking for a change from cars and trucks to plant equipment; or those plant mechanics that are looking for a new role in the earthmoving industry. The ideal mechanics we seek must have the following; Must be trade qualified (Cert 3 in light/heavy or mobile plant) Hold a current drivers licence Be able to pass a full medical including drug testing Have at least 2 work references Permanent hourly rates are between $32-$40 p/hr + super dependant on the experience you bring to the role. Training will be provided to those mechanics that haven't worked earthmoving equipment before, so you must be prepared to learn. This company also offers movement into field service roles in the future but you must prove yourself in the workshop first. To apply please submit your application online via the ""apply for this job"" button attached to this ad. ",Mechanic (Light/Heavy/Plant),Full Time,2018-04-16T04:10:28Z,$32 - $40 p.h. + super,Parramatta & Western Suburbs,https://www.seek.com.au/job/35994264,36,57600
Accounting,Sydney,Richard Lloyd Recruitment Pty Ltd,AU,seek," Company Background Our client is a hospital that sits within a huge network of healthcare providers. This means there are longer term career opportunities within the group for the right candidate. They pride themselves on putting their patients and families first and provide a number of services including medical, surgical and maternity. The finance team are onsite in a modern bright building with a cafÃ© and courtyard. Â  The Role This role works closely with the Finance Manager who has worked in the healthcare industry for over 10 years and will be a wealth of information. You will be responsible for; Assisting with preparation of the balance sheet and P&L reports. Working closely with 20 department heads on their budgets, variance analysis and cashflow.Â Â  Providing insights and advice Low volume Accounts Payable and receivables Assisting with business case analysis Â  Your Background Ideally the client would love an Assistant Accountant who has worked in healthcare or another hospital.Â This is the preference. You will have started your CA or CPA qualification and have excellent communication skills. The right candidate will also have some solid month end reporting experience and have be familiar with Excel functions such as Vlookups and pivot tables. Â  If you are keen to apply for this Assistant Accountant role, please contact Adele Sycamore at Richard Lloyd on 02 8324 5647, quoting reference 4173 or click on 'apply now' below. Please submit your CV in Word format and note that due to the high volume of responses we receive only suitable candidates will be contacted. ",Assistant Accountant,Full Time,2018-04-13T00:24:05Z,$65-70k + Super,Southern Suburbs & Sutherland Shire,https://www.seek.com.au/job/35975877,67.5,35032.5
Trades & Services,Brisbane,Salon Express,AU,seek," Qualified Barber Above Award Wages Casual Hours - Availability required 7 days a week Can work in an EXPRESS environment Excellent Customer Service Minimum 4 years experience. Tool Allowance Able to deliver all Barbering services: Cut Throat Shave, Pompadore, Fades, Tracks and traditional cuts. Well groomed, mature, honest, reliable and a good communicator. ",BARBER - QUALIFIED,Full Time,2018-04-16T08:26:51Z,$25 - $30 per hour,Western Suburbs & Ipswich,https://www.seek.com.au/job/35998519,27.5,44000
